"index_name"	"well"
"01-SMARTindex"	"A1"
"02-SMARTindex"	"B1"
"03-SMARTindex"	"C1"
"04-SMARTindex"	"D1"
"05-SMARTindex"	"E1"
"06-SMARTindex"	"F1"
"07-SMARTindex"	"G1"
"08-SMARTindex"	"H1"
"09-SMARTindex"	"A2"
"10-SMARTindex"	"B2"
"11-SMARTindex"	"C2"
"12-SMARTindex"	"D2"
"13-SMARTindex"	"E2"
"14-SMARTindex"	"F2"
"15-SMARTindex"	"G2"
"16-SMARTindex"	"H2"
"17-SMARTindex"	"A3"
"18-SMARTindex"	"B3"
"19-SMARTindex"	"C3"
"20-SMARTindex"	"D3"
"21-SMARTindex"	"E3"
"22-SMARTindex"	"F3"
"23-SMARTindex"	"G3"
"24-SMARTindex"	"H3"
"25-SMARTindex"	"A4"
"26-SMARTindex"	"B4"
"27-SMARTindex"	"C4"
"28-SMARTindex"	"D4"
"29-SMARTindex"	"E4"
"30-SMARTindex"	"F4"
"31-SMARTindex"	"G4"
"32-SMARTindex"	"H4"
"33-SMARTindex"	"A5"
"34-SMARTindex"	"B5"
"35-SMARTindex"	"C5"
"36-SMARTindex"	"D5"
"37-SMARTindex"	"E5"
"38-SMARTindex"	"F5"
"39-SMARTindex"	"G5"
"40-SMARTindex"	"H5"
"41-SMARTindex"	"A6"
"42-SMARTindex"	"B6"
"43-SMARTindex"	"C6"
"44-SMARTindex"	"D6"
"45-SMARTindex"	"E6"
"46-SMARTindex"	"F6"
"47-SMARTindex"	"G6"
"48-SMARTindex"	"H6"
"49-SMARTindex"	"A7"
"50-SMARTindex"	"B7"
"51-SMARTindex"	"C7"
"52-SMARTindex"	"D7"
"53-SMARTindex"	"E7"
"54-SMARTindex"	"F7"
"55-SMARTindex"	"G7"
"56-SMARTindex"	"H7"
"57-SMARTindex"	"A8"
"58-SMARTindex"	"B8"
"59-SMARTindex"	"C8"
"60-SMARTindex"	"D8"
"61-SMARTindex"	"E8"
"62-SMARTindex"	"F8"
"63-SMARTindex"	"G8"
"64-SMARTindex"	"H8"
"65-SMARTindex"	"A9"
"66-SMARTindex"	"B9"
"67-SMARTindex"	"C9"
"68-SMARTindex"	"D9"
"69-SMARTindex"	"E9"
"70-SMARTindex"	"F9"
"71-SMARTindex"	"G9"
"72-SMARTindex"	"H9"
"73-SMARTindex"	"A10"
"74-SMARTindex"	"B10"
"75-SMARTindex"	"C10"
"76-SMARTindex"	"D10"
"77-SMARTindex"	"E10"
"78-SMARTindex"	"F10"
"79-SMARTindex"	"G10"
"80-SMARTindex"	"H10"
"81-SMARTindex"	"A11"
"82-SMARTindex"	"B11"
"83-SMARTindex"	"C11"
"84-SMARTindex"	"D11"
"85-SMARTindex"	"E11"
"86-SMARTindex"	"F11"
"87-SMARTindex"	"G11"
"88-SMARTindex"	"H11"
"89-SMARTindex"	"A12"
"90-SMARTindex"	"B12"
"91-SMARTindex"	"C12"
"92-SMARTindex"	"D12"
"93-SMARTindex"	"E12"
"94-SMARTindex"	"F12"
"95-SMARTindex"	"G12"
"96-SMARTindex"	"H12"
